name,color,top,left,font_size,R,G,B,cluster,cluster_name
chillsynth,#a198b6,0.14450787851107558,0.5013333333333333,102,0.6313725490196078,0.596078431372549,0.7137254901960784,2,deep house
a cappella,#709207,0.6380908883306691,0.39266666666666666,102,0.4392156862745098,0.5725490196078431,0.027450980392156862,11,classic rock
harlem hip hop,#b7730a,0.4443023521351907,0.698,102,0.7176470588235294,0.45098039215686275,0.0392156862745098,8,musica mexicana
amapiano,#9a9f66,0.04626627083809089,0.9033333333333333,102,0.6039215686274509,0.6235294117647059,0.4,2,deep house
funky house,#cf7981,0.03270153002968714,0.8326666666666667,102,0.8117647058823529,0.4745098039215686,0.5058823529411764,2,deep house
chicago soul,#808107,0.6710207810002283,0.49666666666666665,102,0.5019607843137255,0.5058823529411764,0.027450980392156862,11,classic rock
lebanese pop,#a1810a,0.4738068052066682,0.4846666666666667,102,0.6313725490196078,0.5058823529411764,0.0392156862745098,1,pop
ghanaian pop,#ae8d0a,0.3559260105046814,0.7433333333333333,102,0.6823529411764706,0.5529411764705883,0.0392156862745098,7,dance pop
turkish deep house,#b39153,0.09362868234756794,0.6893333333333334,102,0.7019607843137254,0.5686274509803921,0.3254901960784314,13,edm
nz reggae,#9a8c32,0.19835578899292075,0.7006666666666667,102,0.6039215686274509,0.5490196078431373,0.19607843137254902,7,dance pop
austrian pop,#999023,0.2681890842658141,0.5093333333333333,102,0.6,0.5647058823529412,0.13725490196078433,1,pop
australian alternative pop,#938f16,0.3315825530943138,0.464,102,0.5764705882352941,0.5607843137254902,0.08627450980392157,1,pop
sound team,#9781b0,0.27371546015071935,0.24666666666666667,102,0.592156862745098,0.5058823529411764,0.6901960784313725,3,sleep
scottish new wave,#ae7628,0.32541676181776663,0.3486666666666667,102,0.6823529411764706,0.4627450980392157,0.1568627450980392,5,rock
destroy techno,#c3828b,0.0716601963918703,0.742,102,0.7647058823529411,0.5098039215686274,0.5450980392156862,2,deep house
icelandic pop,#828e16,0.4732587348709751,0.488,102,0.5098039215686274,0.5568627450980392,0.08627450980392157,11,classic rock
pianissimo,#209fe0,0.8645352820278602,0.406,102,0.12549019607843137,0.6235294117647059,0.8784313725490196,4,classical
brazilian indie,#a08526,0.4306005937428637,0.5593333333333333,102,0.6274509803921569,0.5215686274509804,0.14901960784313725,1,pop
fotbollslatar,#a5800c,0.3927380680520667,0.5246666666666666,102,0.6470588235294118,0.5019607843137255,0.047058823529411764,1,pop
south african rock,#b27d12,0.25910025119890384,0.2853333333333333,102,0.6980392156862745,0.49019607843137253,0.07058823529411765,5,rock
